frequency,FFTpower
22.92268,7.09E-09
22.97014,7.43E-10
23.0176,4.64E-09
23.06506,8.48E-09
23.11252,4.37E-09
23.15998,4.90E-10
23.20744,6.26E-09
23.25489,4.03E-10
23.30235,2.51E-09
23.34981,3.30E-09
23.39727,2.90E-09
23.44473,4.72E-09
23.49219,9.38E-09
23.53965,2.91E-09
23.58711,8.52E-10
23.63457,8.35E-10
23.68202,3.02E-10
23.72948,6.45E-09
23.77694,2.49E-08
23.8244,1.19E-09
23.87186,7.88E-09
23.91932,2.65E-09
23.96678,6.86E-09
24.01424,1.63E-09
24.0617,8.58E-09
24.10916,8.00E-09
24.15661,6.14E-09
24.20407,6.00E-09
24.25153,3.76E-09
24.29899,4.62E-09
24.34645,8.58E-09
24.39391,2.94E-09
24.44137,4.46E-09
24.48883,6.23E-09
24.53629,2.42E-09
24.58375,1.32E-08
24.6312,1.68E-09
24.67866,8.65E-09
24.72612,2.54E-08
24.77358,8.57E-09
24.82104,2.00E-08
24.8685,3.70E-09
24.91596,9.38E-10
24.96342,7.40E-09
25.01088,1.15E-08
25.05833,9.95E-09
25.10579,2.47E-08
25.15325,4.65E-09
25.20071,6.77E-09
25.24817,1.34E-08
25.29563,6.92E-09
25.34309,1.39E-08
25.39055,4.71E-09
25.43801,2.14E-09
25.48547,7.05E-09
25.53292,1.12E-09
25.58038,1.05E-08
25.62784,4.70E-10
25.6753,3.34E-10
25.72276,3.22E-08
25.77022,2.29E-08
25.81768,1.59E-08
25.86514,6.57E-09
25.9126,1.74E-09
25.96006,1.77E-08
26.00751,1.07E-08
26.05497,7.03E-09
26.10243,8.41E-10
26.14989,3.23E-09
26.19735,2.59E-10
26.24481,8.84E-09
26.29227,3.14E-10
26.33973,1.65E-08
26.38719,2.21E-08
26.43465,3.05E-08
26.4821,6.45E-09
26.52956,1.62E-09
26.57702,1.87E-09
26.62448,7.55E-09
26.67194,1.09E-08
26.7194,2.83E-08
26.76686,2.50E-09
26.81432,1.50E-09
26.86178,5.63E-09
26.90923,2.10E-08
26.95669,3.95E-10
27.00415,8.31E-09
27.05161,6.53E-09
27.09907,4.48E-09
27.14653,4.01E-09
27.19399,8.99E-09
27.24145,6.19E-09
27.28891,4.98E-11
27.33637,1.29E-09
27.38382,1.42E-08
27.43128,2.84E-09
27.47874,4.35E-09
27.5262,3.40E-09
27.57366,2.10E-09
27.62112,3.17E-09
27.66858,4.17E-09
27.71604,5.21E-09
27.7635,3.88E-09
27.81096,7.96E-09
27.85841,6.15E-10
27.90587,1.12E-08
27.95333,6.79E-09
28.00079,1.88E-09
28.04825,3.42E-10
28.09571,2.57E-09
28.14317,1.63E-09
28.19063,1.95E-09
28.23809,2.83E-09
28.28554,4.83E-09
28.333,6.45E-09
28.38046,7.41E-09
28.42792,1.11E-08
28.47538,3.19E-09
28.52284,1.79E-08
28.5703,9.81E-09
28.61776,6.38E-09
28.66522,7.37E-09
28.71268,6.90E-09
28.76013,3.35E-09
28.80759,6.27E-10
28.85505,1.10E-08
28.90251,2.23E-09
28.94997,4.17E-09
28.99743,3.18E-09
29.04489,3.47E-09
29.09235,4.41E-09
29.13981,9.61E-10
29.18727,5.17E-09
29.23472,3.07E-09
29.28218,7.75E-09
29.32964,9.78E-10
29.3771,7.21E-09
29.42456,5.53E-09
29.47202,1.87E-09
29.51948,6.07E-09
29.56694,7.58E-10
29.6144,7.19E-09
29.66185,3.49E-09
29.70931,4.00E-09
29.75677,5.75E-10
29.80423,2.92E-09
29.85169,3.17E-09
29.89915,1.43E-09
29.94661,3.09E-09
29.99407,8.49E-10
30.04153,2.97E-10
30.08899,4.84E-10
30.13644,3.39E-09
30.1839,5.27E-09
30.23136,2.78E-09
