file,id,type,date,displaydateDOY,hour,minute,timeH,temperatureC,DewpointC +/- 0.2,relative humidity (%),boutID,sample,freq,eyespots,rectrixL,trainL,traindate,displaydate,traindateDOY
GOPR1741,juvenile9,juvenile,3/20/15,NA,7,54,7.9,16.7,9.7,63.3,juvenile9_GOPR1741,pre,27.24545455,NA,NA,NA,NA,NA,NA
GOPR1348,BBQ,male,3/14/15,73,8,52,8.866666667,22.2,2,26.4,BBQ_GOPR1348,peak,26.06,157,51.5,149,10,14,69
GOPR1348,BBQ,male,3/14/15,73,8,52,8.866666667,22.2,2,26.4,BBQ_GOPR1348,post,25.50638,157,51.5,149,10,14,69
GOPR1348,BBQ,male,3/14/15,73,8,52,8.866666667,22.2,2,26.4,BBQ_GOPR1348,pre,26.64,157,51.5,149,10,14,69
GOPR1792,BBQ,male,3/20/15,79,10,28,10.46666667,22.2,10.9,48.8,BBQ_GOPR1792,peak,26.35,157,51.5,149,10,20,69
GOPR1792,BBQ,male,3/20/15,79,10,28,10.46666667,22.2,10.9,48.8,BBQ_GOPR1792,post,24.71753,157,51.5,149,10,20,69
GOPR1792,BBQ,male,3/20/15,79,10,28,10.46666667,22.2,10.9,48.8,BBQ_GOPR1792,pre,28.20706,157,51.5,149,10,20,69
GOPR2042,BBQ,male,3/22/15,81,16,49,16.81666667,19.4,11.7,61.1,BBQ_GOPR2042,peak,26.35,157,51.5,149,10,22,69
GOPR2042,BBQ,male,3/22/15,81,16,49,16.81666667,19.4,11.7,61.1,BBQ_GOPR2042,post,25.78065,157,51.5,149,10,22,69
GOPR2042,BBQ,male,3/22/15,81,16,49,16.81666667,19.4,11.7,61.1,BBQ_GOPR2042,pre,26.06087,157,51.5,149,10,22,69
GOPR1541,caf road,male,3/17/15,76,16,29,16.48333333,22.2,6.6,36.5,caf_ road_GOPR1541,peak,24.72,141,48.8,123,21,17,80
GOPR1541,caf road,male,3/17/15,76,16,29,16.48333333,22.2,6.6,36.5,caf_ road_GOPR1541,post,22.83428571,141,48.8,123,21,17,80
GOPR1541,caf road,male,3/17/15,76,16,29,16.48333333,22.2,6.6,36.5,caf_ road_GOPR1541,pre,24.46530612,141,48.8,123,21,17,80
GOPR1868,caf road,male,3/21/15,80,9,21,9.35,18.3,12.2,67.6,caf_ road_GOPR1868,peak,23.51,141,48.8,123,21,21,80
GOPR1868,caf road,male,3/21/15,80,9,21,9.35,18.3,12.2,67.6,caf_ road_GOPR1868,post,24.21818182,141,48.8,123,21,21,80
GOPR1868,caf road,male,3/21/15,80,9,21,9.35,18.3,12.2,67.6,caf_ road_GOPR1868,pre,23.2776699,141,48.8,123,21,21,80
GOPR2019,caf road,male,3/22/15,81,10,22,10.36666667,17.8,11.7,67.5,caf_ road_GOPR2019,peak,23.51,141,48.8,123,21,22,80
GOPR2019,caf road,male,3/22/15,81,10,22,10.36666667,17.8,11.7,67.5,caf_ road_GOPR2019,post,23.73861386,141,48.8,123,21,22,80
