Frequency (Hz),FFT power (arb. units),"Crest 13 (female), 25.0 Hz, 30 cm distance",Frequency (Hz),Fit to Lorentzian shown 
,,,81.98523,6.39E-06
,,,82.10492,6.39E-06
,,,82.22461,6.39E-06
,,,82.34429,6.39E-06
,,,82.46398,6.39E-06
,,,82.58367,6.39E-06
,,,82.70335,6.38E-06
,,,82.82304,6.38E-06
,,,82.94273,6.38E-06
,,,83.06241,6.38E-06
,,,83.1821,6.38E-06
,,,83.30179,6.38E-06
,,,83.42147,6.38E-06
,,,83.54116,6.38E-06
,,,83.66084,6.38E-06
,,,83.78053,6.38E-06
,,,83.90022,6.38E-06
,,,84.0199,6.38E-06
,,,84.13959,6.38E-06
,,,84.25928,6.38E-06
,,,84.37896,6.38E-06
,,,84.49865,6.38E-06
,,,84.61834,6.38E-06
,,,84.73802,6.38E-06
,,,84.85771,6.38E-06
,,,84.9774,6.38E-06
,,,85.09708,6.38E-06
,,,85.21677,6.38E-06
,,,85.33646,6.38E-06
,,,85.45614,6.38E-06
,,,85.57583,6.38E-06
,,,85.69552,6.38E-06
,,,85.8152,6.37E-06
,,,85.93489,6.37E-06
,,,86.05457,6.37E-06
,,,86.17426,6.37E-06
,,,86.29395,6.37E-06
,,,86.41363,6.37E-06
,,,86.53332,6.37E-06
,,,86.65301,6.37E-06
,,,86.77269,6.37E-06
,,,86.89238,6.37E-06
,,,87.01207,6.37E-06
,,,87.13175,6.37E-06
,,,87.25144,6.37E-06
,,,87.37113,6.37E-06
,,,87.49081,6.37E-06
,,,87.6105,6.37E-06
,,,87.73019,6.37E-06
,,,87.84987,6.37E-06
,,,87.96956,6.37E-06
,,,88.08924,6.37E-06
,,,88.20893,6.37E-06
,,,88.32862,6.37E-06
,,,88.4483,6.37E-06
,,,88.56799,6.37E-06
,,,88.68768,6.37E-06
,,,88.80736,6.37E-06
,,,88.92705,6.37E-06
,,,89.04674,6.37E-06
,,,89.16642,6.37E-06
,,,89.28611,6.37E-06
,,,89.4058,6.37E-06
,,,89.52548,6.37E-06
,,,89.64517,6.37E-06
,,,89.76486,6.36E-06
,,,89.88454,6.36E-06
,,,90.00423,6.36E-06
,,,90.12391,6.36E-06
,,,90.2436,6.36E-06
,,,90.36329,6.36E-06
,,,90.48297,6.36E-06
,,,90.60266,6.36E-06
,,,90.72235,6.36E-06
,,,90.84203,6.36E-06
,,,90.96172,6.36E-06
,,,91.08141,6.36E-06
,,,91.20109,6.36E-06
,,,91.32078,6.36E-06
,,,91.44047,6.36E-06
,,,91.56015,6.36E-06
,,,91.67984,6.36E-06
,,,91.79953,6.36E-06
,,,91.91921,6.36E-06
,,,92.0389,6.36E-06
,,,92.15858,6.36E-06
,,,92.27827,6.36E-06
,,,92.39796,6.36E-06
,,,92.51764,6.36E-06
,,,92.63733,6.36E-06
,,,92.75702,6.36E-06
,,,92.8767,6.36E-06
,,,92.99639,6.36E-06
,,,93.11608,6.36E-06
,,,93.23576,6.36E-06
,,,93.35545,6.36E-06
,,,93.47514,6.36E-06
,,,93.59482,6.36E-06
,,,93.71451,6.36E-06
,,,93.8342,6.36E-06
,,,93.95388,6.36E-06
,,,94.07357,6.36E-06
,,,94.19325,6.36E-06
,,,94.31294,6.36E-06
,,,94.43263,6.36E-06
,,,94.55231,6.36E-06
,,,94.672,6.36E-06
,,,94.79169,6.35E-06
,,,94.91137,6.35E-06
,,,95.03106,6.35E-06
,,,95.15075,6.35E-06
,,,95.27043,6.35E-06
,,,95.39012,6.35E-06
,,,95.50981,6.35E-06
,,,95.62949,6.35E-06
,,,95.74918,6.35E-06
,,,95.86887,6.35E-06
,,,95.98855,6.35E-06
,,,96.10824,6.35E-06
,,,96.22792,6.35E-06
,,,96.34761,6.35E-06
,,,96.4673,6.35E-06
,,,96.58698,6.35E-06
,,,96.70667,6.35E-06
,,,96.82636,6.35E-06
,,,96.94604,6.35E-06
,,,97.06573,6.35E-06
,,,97.18542,6.35E-06
,,,97.3051,6.35E-06
,,,97.42479,6.35E-06
,,,97.54448,6.35E-06
,,,97.66416,6.35E-06
,,,97.78385,6.35E-06
,,,97.90354,6.35E-06
,,,98.02322,6.35E-06
,,,98.14291,6.35E-06
,,,98.26259,6.35E-06
,,,98.38228,6.35E-06
