frequency_Hz,FFT_power,crest,playback_track,blocked
84,3.41E-04,crest_08,white_noise,no
85,4.30E-05,crest_08,white_noise,no
86,9.09E-04,crest_08,white_noise,no
87,2.80E-04,crest_08,white_noise,no
88,5.21E-04,crest_08,white_noise,no
89,4.27E-04,crest_08,white_noise,no
90,7.13E-04,crest_08,white_noise,no
91,1.89E-04,crest_08,white_noise,no
92,3.63E-04,crest_08,white_noise,no
93,1.66E-04,crest_08,white_noise,no
94,1.88E-04,crest_08,white_noise,no
95,1.05E-04,crest_08,white_noise,no
96,4.19E-04,crest_08,white_noise,no
97,9.73E-04,crest_08,white_noise,no
98,1.56E-04,crest_08,white_noise,no
99,1.29E-04,crest_08,white_noise,no
100,1.46E-04,crest_08,white_noise,no
101,1.07E-04,crest_08,white_noise,no
102,2.80E-04,crest_08,white_noise,no
103,4.33E-06,crest_08,white_noise,no
104,4.53E-05,crest_08,white_noise,no
105,7.38E-04,crest_08,white_noise,no
106,5.63E-04,crest_08,white_noise,no
107,5.26E-04,crest_08,white_noise,no
108,2.44E-04,crest_08,white_noise,no
109,2.57E-04,crest_08,white_noise,no
110,7.60E-04,crest_08,white_noise,no
111,6.68E-04,crest_08,white_noise,no
112,8.54E-04,crest_08,white_noise,no
113,1.50E-04,crest_08,white_noise,no
114,2.86E-04,crest_08,white_noise,no
115,5.40E-04,crest_08,white_noise,no
116,1.52E-04,crest_08,white_noise,no
117,7.89E-04,crest_08,white_noise,no
118,7.24E-04,crest_08,white_noise,no
119,5.66E-04,crest_08,white_noise,no
120,4.36E-05,crest_08,white_noise,no
